ID,StageName,AgeAtDeath,DateOfDeath,DeathCity_IntlProvince,DeathState_IntlCity,DeathCountry,SpecialDeathID,US_Region,International_Region
1,Tammi Terrell,24,1970-03-16,Philadelphia,Pennsylvania,US,T2M470,East,N/A
2,Jimi Hendrix,27,1970-09-18,Kensington,London,England,J2H770,N/A,Europe
3,Janis Joplin,27,1970-10-04,Hollywood,California,US,J2J770,West,N/A
4,Jim Morrison,27,1971-07-03,Paris,N/A,France,J2M771,N/A,Europe
5,Mahalia Jackson,60,1972-01-27,Evergreen Park,Illinois,US,M6J072,MidWest,N/A
6,Jim Croce,30,1973-09-20,Natchitoches,Louisiana,US,J3C073,South,N/A
7,Duke Ellington,75,1974-05-24,NYC,New York,US,E7E574,East,N/A
8,Cannonball Adderley,46,1975-08-08,Gary,Indiana,US,J4A675,MidWest,N/A
9,Elvis Presley,42,1977-08-16,Memphis,Tennessee,US,E4P242,South,N/A
10,Donny Hathaway,33,1979-01-13,NYC,New York,US,D3H379,East,N/A
11,Minnie Riperton,31,1979-07-12,Los Angeles,California,US,M3R179,West,N/A
12,Bon Scott,33,1980-02-19,East Dulwich,London,England,R3S380,N/A,Europe
13,John Bonham,32,1980-09-25,Clewer,Berkshire,England,J3B280,N/A,Europe
14,John Lennon,40,1980-12-08,NYC,New York,US,J4L080,East,N/A
15,Bill Haley,55,1981-02-09,Harlingen,Texas,US,W5H581,SouthWest,N/A
16,Bob Marley,36,1981-05-11,Miami,Florida,US,R3M681,South,N/A
17,John Belushi,33,1982-03-05,Los Angeles,California,US,J3B382,West,N/A
18,Randy Rhoads,25,1982-03-19,Leesburg,Florida,US,R2R582,South,N/A
19,Karen Carpenter,32,1983-02-04,Downey,California,US,K3C283,West,N/A
20,Muddy Waters,70,1983-08-30,Westmont,Illinois,US,M7M083,MidWest,N/A
21,James Jamerson,47,1983-08-02,Los Angeles,California,US,J4J783,West,N/A
22,Marvin Gaye,44,1984-04-01,Los Angeles,California,US,M4G484,West,N/A
23,Scott La Rock,25,1987-08-27,NYC,New York,US,S2S584,East,N/A
24,Peter Tosh,42,1987-09-11,Kingston,Jamaica,US,W4M287,US,Carribean
